"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20642","Login with valid username and invalid password","unauthenticated","2026-08-27","passed","2026-08-27","","Login.spec.js","",""
"","16946","Login with invalid credentials","unauthenticated","2026-08-27","passed","2026-08-27","","Login.spec.js","",""
"","46997","Add product under monitors category and do till purchase","authenticated","2026-08-27","passed","2026-08-27","","Purchase.spec.js","",""
"","19202","Login to DemoBlaze and save authentication","setup","2026-08-27","passed","2026-08-27","","auth.setup.js","",""
"","19824","Login with invalid username and valid password","unauthenticated","2026-08-27","passed","2026-08-27","","Login.spec.js","",""
"","45606","Add product under phone category and pass till purchase","authenticated","2026-08-27","passed","2026-08-27","","Purchase.spec.js","",""
"","10041","Logout Functionality","authenticated","2026-08-27","passed","2026-08-27","","Logout.spec.js","",""
"","18587","ValidLogin","unauthenticated","2026-08-27","passed","2026-08-27","","Login.spec.js","",""
"","17027","Check Close button in the signup popup","unauthenticated","2026-08-27","passed","2026-08-27","","Newusersignup.spec.js","",""
"","12251","Selecting and adding product to cart","authenticated","2026-08-27","passed","2026-08-27","","Purchase.spec.js","",""
"","17241","User signup","unauthenticated","2026-08-27","passed","2026-08-27","","Newusersignup.spec.js","",""
